"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10"
"Bananeiras","Rio Tinto","Lagoa Seca","Cacimba de Dentro","Alagoa Grande","Monteiro","Alagoa Nova","Remígio","Pitimbu","Boqueirão","Ingá"
"Baraúna","Montadas","Sertãozinho","São Francisco","Quixabá","Santa Cecília","Sobrado","Barra de Santana","Boa Vista","São Mamede","Riacho de Santo Antônio"
"Barra de Santa Rosa","Lucena","Cuité","Piancó","Princesa Isabel","São José de Piranhas","Lagoa de Dentro","Araruna","Remígio","Teixeira","Jacaraú"
"Barra de Santana","Paulista","Sobrado","Santa Cecília","Maturéia","Montadas","Boa Vista","Teixeira","Baraúna","Santa Helena","Cabaceiras"
"Barra de São Miguel","Riacho dos Cavalos","São José dos Ramos","Caldas Brandão","Pilões","Santana de Mangueira","Logradouro","Bom Jesus","Lagoa","Serra Redonda","Borborema"
"Bayeux","Queimadas","Pedras de Fogo","Cajazeiras","Sousa","Alagoa Grande","Sapé","São Bento","Caaporã","Bananeiras","Lagoa Seca"
"Belém","São Sebastião de Lagoa de Roça","Sumé","Santa Cecília","Paulista","Teixeira","Barra de Santana","Mataraca","São Mamede","Catolé do Rocha","Sobrado"
"Belém do Brejo do Cruz","Duas Estradas","Olivedos","Camalaú","Livramento","Curral de Cima","Junco do Seridó","Pedra Branca","Jericó","Cacimba de Areia","Capim"
"Bernardino Batista","Santana dos Garrotes","Nova Floresta","Jericó","Aguiar","Pilõezinhos","Igaracy","Santa Cruz","São José da Lagoa Tapada","Cacimba de Areia","Santo André"
"Boa Ventura","São Miguel de Taipu","Monte Horebe","Santa Inês","São José de Caiana","Conceição","Nova Olinda","Itatuba","Diamante","Coxixola","Manaíra"
"Boa Vista","Santa Helena","Cabaceiras","Maturéia","Sobrado","Assunção","Damião","Montadas","São Francisco","Barra de Santana","Paulista"
"Bom Jesus","Caldas Brandão","Emas","Logradouro","Catingueira","Bom Sucesso","Riacho dos Cavalos","Salgadinho","São José dos Ramos","Lagoa","Barra de São Miguel"
"Bom Sucesso","Catingueira","Amparo","Emas","Bom Jesus","Matinhas","Caldas Brandão","Logradouro","Borborema","São José dos Ramos","Santana de Mangueira"
"Bonito de Santa Fé","Itaporanga","Casserengue","Juarez Távora","Cuitegi","Livramento","Algodão de Jandaíra","Curral de Cima","Pilar","Fagundes","Junco do Seridó"
"Boqueirão","Ingá","Remígio","Alagoinha","Soledade","Pitimbu","Cacimba de Dentro","São José de Piranhas","São João do Rio do Peixe","Itabaiana","Alagoa Nova"
"Borborema","Santana de Mangueira","Serra Redonda","São José dos Ramos","Matinhas","Aparecida","Catingueira","Amparo","Juru","Bom Sucesso","Barra de São Miguel"
"Brejo do Cruz","Baía da Traição","Gurinhém","Juripiranga","Puxinanã","Nova Floresta","Massaranduba","Cuité de Mamanguape","Salgado de São Félix","Água Branca","Bernardino Batista"
"Brejo dos Santos","Caraúbas","Riachão do Poço","Lastro","Serraria","Serra da Raiz","São José de Princesa","São José dos Cordeiros","Riachão do Bacamarte","Coremas","Olho d'Água"
"Caaporã","Sapé","Areia","Juazeirinho","Mari","Araçagi","Itapororoca","Mamanguape","Tavares","Alagoa Nova","Cruz do Espírito Santo"
"Cabaceiras","Santa Helena","Assunção","Boa Vista","Pedro Régis","Damião","Maturéia","Riacho de Santo Antônio","Areia de Baraúnas","São João do Cariri","Sobrado"
"Cabedelo","Patos","Guarabira","Picuí","Conde","Pedra Lavrada","Dona Inês","Santa Luzia","São José do Sabugi","Várzea","Esperança"
"Cachoeira dos Índios","Poço Dantas","Pilões","Arara","Imaculada","Lagoa","Cacimbas","Riacho dos Cavalos","Olho d'Água","Barra de São Miguel","Marizópolis"
"Cacimba de Areia","Santo André","Zabelê","Olivedos","Ouro Velho","Vista Serrana","Duas Estradas","Belém do Brejo do Cruz","Jericó","Santana dos Garrotes","Bernardino Batista"
"Cacimba de Dentro","Remígio","Alagoa Nova","Boqueirão","Rio Tinto","Pitimbu","Ingá","Bananeiras","Monteiro","São João do Rio do Peixe","Lagoa Seca"
"Cacimbas","Imaculada","Marcação","Pilões","Cachoeira dos Índios","Arara","Barra de São Miguel","Poço Dantas","Cruz do Espírito Santo","Riacho dos Cavalos","Juru"
"Caiçara","Poço de José de Moura","Pirpirituba","Uiraúna","Casserengue","Taperoá","Alagoinha","Itaporanga","Soledade","São João do Tigre","Cubati"
"Cajazeiras","Esperança","São Bento","Queimadas","Catolé do Rocha","Solânea","Pocinhos","Alhandra","Sousa","Pombal","Jacaraú"
"Cajazeirinhas","Caturité","Nova Palmeira","Frei Martinho","Natuba","Areial","Santa Luzia","Santa Teresinha","São José do Sabugi","Umbuzeiro","Dona Inês"
"Caldas Brandão","Logradouro","Bom Jesus","Riacho dos Cavalos","Emas","Lagoa","Catingueira","Barra de São Miguel","Salgadinho","São José dos Ramos","Bom Sucesso"
"Camalaú","Junco do Seridó","Duas Estradas","Belém do Brejo do Cruz","Pedra Branca","Olivedos","Livramento","Curral de Cima","Serra Grande","Sossêgo","Algodão de Jandaíra"
"Campina Grande","Santa Rita","Patos","Cabedelo","Bayeux","Guarabira","Cajazeiras","Queimadas","Esperança","Conde","Picuí"
"Capim","Pilar","Curral de Cima","Livramento","Juarez Távora","Puxinanã","Água Branca","Juripiranga","Belém do Brejo do Cruz","Jericó","Cuité de Mamanguape"
"Caraúbas","Brejo dos Santos","Riachão do Poço","Serra da Raiz","São José de Princesa","São José dos Cordeiros","Lastro","Serraria","Riachão do Bacamarte","Coxixola","Coremas"
"Carrapateira","Vieirópolis","Congo","São José do Bonfim","Mãe d'Água","São João do Tigre","Parari","Malta","Condado","Gurjão","Cuitegi"
"Casserengue","Itaporanga","Caiçara","Bonito de Santa Fé","Soledade","Pirpirituba","Alagoinha","Cuitegi","Poço de José de Moura","São João do Tigre","Uiraúna"
"Catingueira","Bom Sucesso","Bom Jesus","Emas","Amparo","Caldas Brandão","Matinhas","Logradouro","São José dos Ramos","Borborema","Santana de Mangueira"
"Catolé do Rocha","Alhandra","Belém","Umbuzeiro","Solânea","Mataraca","São Sebastião de Lagoa de Roça","Pombal","Pocinhos","Sumé","Jacaraú"
"Caturité","Cajazeirinhas","Nova Palmeira","Frei Martinho","Natuba","Santa Luzia","Areial","São José do Sabugi","Dona Inês","Várzea","Santa Teresinha"
"Conceição","Itatuba","São Miguel de Taipu","Manaíra","Diamante","Nova Olinda","Mulungu","Monte Horebe","Coremas","Riachão do Poço","Caraúbas"
"Condado","Congo","São José do Bonfim","Alcantil","Vieirópolis","Poço de José de Moura","São José de Espinharas","Santarém","São João do Tigre","Cubati","Parari"
"Conde","Picuí","Pombal","Esperança","Dona Inês","Guarabira","Santa Luzia","Natuba","Pedra Lavrada","Alhandra","Umbuzeiro"
"Congo","São José do Bonfim","Condado","Vieirópolis","Carrapateira","São João do Tigre","Parari","Alcantil","Pirpirituba","Poço de José de Moura","Mãe d'Água"
"Coremas","Marizópolis","Mulungu","Olho d'Água","Brejo dos Santos","Serraria","Riachão do Poço","Manaíra","Riachão do Bacamarte","Lastro","Poço Dantas"
"Coxixola","São José de Princesa","Serra da Raiz","São José dos Cordeiros","Caraúbas","Riachão do Poço","Brejo dos Santos","Lastro","Nova Olinda","Serraria","Diamante"
"Cruz do Espírito Santo","Itapororoca","Gado Bravo","Marcação","Cacimbas","Imaculada","Araçagi","Juazeirinho","Pilões","Juru","Gurinhém"
"Cubati","Taperoá","Desterro","Serra Branca","Alcantil","Santarém","Poço de José de Moura","Damião","Condado","Pedro Régis","Uiraúna"
"Cuité","Lucena","Barra de Santa Rosa","Piancó","São José de Piranhas","Princesa Isabel","Lagoa de Dentro","Remígio","Uiraúna","Monteiro","Taperoá"
"Cuité de Mamanguape","Massaranduba","Água Branca","Salgado de São Félix","Puxinanã","Juripiranga","Tavares","Mogeiro","Gurinhém","Capim","Baía da Traição"
"Cuitegi","Malta","Mãe d'Água","São João do Tigre","São Bentinho","Algodão de Jandaíra","Tenório","Pirpirituba","Gurjão","Vieirópolis","Bonito de Santa Fé"
"Curral de Cima","Livramento","Capim","Belém do Brejo do Cruz","Pilar","Juarez Távora","Camalaú","Duas Estradas","Olivedos","Junco do Seridó","Jericó"
"Curral Velho","Passagem","Santa Cruz","Mato Grosso","Vista Serrana","São José da Lagoa Tapada","Pilõezinhos","Igaracy","Aguiar","Matinhas","Ouro Velho"
"Damião","Desterro","Pedro Régis","Santarém","Serra Branca","Santa Helena","Assunção","Maturéia","Cabaceiras","São José de Espinharas","Boa Vista"
"Desterro","Damião","Serra Branca","Santarém","Pedro Régis","Cubati","Maturéia","São José de Espinharas","Alcantil","Santa Helena","Assunção"
"Diamante","Nova Olinda","Itatuba","Mulungu","Manaíra","Riachão do Poço","Caraúbas","Brejo dos Santos","São José de Princesa","Serra da Raiz","Coremas"
"Dona Inês","Santa Luzia","Pedra Lavrada","São José do Sabugi","Natuba","Várzea","Caturité","Cajazeirinhas","Picuí","Conde","Pombal"
"Duas Estradas","Olivedos","Belém do Brejo do Cruz","Camalaú","Junco do Seridó","Pedra Branca","Livramento","Curral de Cima","Cacimba de Areia","Jericó","Zabelê"
"Emas","Bom Jesus","Bom Sucesso","Logradouro","Catingueira","Caldas Brandão","Salgadinho","Amparo","Lagoa","Riacho dos Cavalos","São José dos Ramos"
"Esperança","Pombal","Catolé do Rocha","Alhandra","Conde","Cajazeiras","Umbuzeiro","Solânea","Natuba","Pocinhos","Mataraca"
"Fagundes","Mogeiro","Juarez Távora","São João do Rio do Peixe","Água Branca","Pilar","Bonito de Santa Fé","Capim","Ingá","Massaranduba","Cuité de Mamanguape"
"Frei Martinho","Nova Palmeira","Cajazeirinhas","Areial","Santa Teresinha","Caturité","Sertãozinho","Natuba","São Mamede","Mataraca","Sumé"
"Gado Bravo","Itapororoca","Cruz do Espírito Santo","Araçagi","Marcação","Juazeirinho","Gurinhém","Baía da Traição","Brejo do Cruz","Cacimbas","Imaculada"
"Guarabira","Conde","Picuí","Esperança","Patos","Pombal","Dona Inês","Pedra Lavrada","Cajazeiras","Santa Luzia","Alhandra"
"Gurinhém","Brejo do Cruz","Salgado de São Félix","Baía da Traição","Tavares","Massaranduba","Cuité de Mamanguape","Araçagi","Juripiranga","Juazeirinho","Água Branca"
"Gurjão","São Bentinho","São Domingos do Cariri","Malta","Tenório","Algodão de Jandaíra","Sossêgo","Serra Grande","Mãe d'Água","Cuitegi","Pedra Branca"
"Ibiara","Camalaú","Junco do Seridó","Pedra Branca","Belém do Brejo do Cruz","Duas Estradas","Olivedos","Serra Grande","Sossêgo","Zabelê","Livramento"
"Igaracy","Pilõezinhos","Aguiar","São José da Lagoa Tapada","Santana dos Garrotes","Santa Cruz","Nova Floresta","Bernardino Batista","Curral Velho","Vista Serrana","Jericó"
"Imaculada","Cacimbas","Pilões","Marcação","Cachoeira dos Índios","Arara","Barra de São Miguel","Poço Dantas","Riacho dos Cavalos","Cruz do Espírito Santo","Juru"
"Ingá","Pitimbu","Boqueirão","São João do Rio do Peixe","Alagoinha","Soledade","Alagoa Nova","Remígio","Cacimba de Dentro","Fagundes","Itabaiana"
"Itabaiana","Soledade","Uiraúna","Alagoinha","Itaporanga","São José de Piranhas","Taperoá","Caiçara","Boqueirão","Poço de José de Moura","Casserengue"
"Itaporanga","Casserengue","Soledade","Bonito de Santa Fé","Itabaiana","Pirpirituba","Alagoinha","Caiçara","Cuitegi","Poço de José de Moura","Uiraúna"
"Itapororoca","Cruz do Espírito Santo","Gado Bravo","Araçagi","Juazeirinho","Marcação","Cacimbas","Gurinhém","Imaculada","Brejo do Cruz","Baía da Traição"
"Itatuba","Diamante","Nova Olinda","Manaíra","Mulungu","Conceição","Riachão do Poço","Caraúbas","Brejo dos Santos","Coremas","São José de Princesa"
"Jacaraú","Pocinhos","Solânea","Araruna","Teixeira","Piancó","Barra de Santa Rosa","Princesa Isabel","Lucena","Cuité","Belém"
"Jericó","Bernardino Batista","Santana dos Garrotes","Nova Floresta","Belém do Brejo do Cruz","Aguiar","Olivedos","Pilõezinhos","Duas Estradas","Juripiranga","Cacimba de Areia"
"João Pessoa","Campina Grande","Santa Rita","Cabedelo","Patos","Bayeux","Guarabira","Cajazeiras","Queimadas","Pedras de Fogo","Esperança"
"Juarez Távora","Capim","Curral de Cima","Livramento","Pilar","Bonito de Santa Fé","Água Branca","Fagundes","Puxinanã","Belém do Brejo do Cruz","Camalaú"
"Juazeirinho","Araçagi","Itapororoca","Areia","Gado Bravo","Gurinhém","Tavares","Cruz do Espírito Santo","Salgado de São Félix","Brejo do Cruz","Baía da Traição"
"Junco do Seridó","Pedra Branca","Camalaú","Duas Estradas","Serra Grande","Belém do Brejo do Cruz","Sossêgo","Olivedos","Algodão de Jandaíra","Tenório","Livramento"
"Juripiranga","Puxinanã","Água Branca","Capim","Cuité de Mamanguape","Pilar","Massaranduba","Jericó","Baía da Traição","Brejo do Cruz","Curral de Cima"
"Juru","Aparecida","Serra Redonda","Santana de Mangueira","Borborema","São José dos Ramos","Barra de São Miguel","São José da Lagoa Tapada","Riacho dos Cavalos","Matinhas","Igaracy"
"Lagoa","Salgadinho","Logradouro","Riacho dos Cavalos","Caldas Brandão","Bom Jesus","Barra de São Miguel","Poço Dantas","Riachão","Olho d'Água","Emas"
"Lagoa de Dentro","São José de Piranhas","Lucena","Uiraúna","Taperoá","Barra de Santa Rosa","Cuité","Cubati","Caiçara","Alagoinha","Poço de José de Moura"
"Lagoa Seca","Bananeiras","Rio Tinto","Monteiro","Araruna","Cacimba de Dentro","Remígio","Alagoa Grande","Barra de Santa Rosa","Cuité","Alagoa Nova"
"Lastro","Serraria","Riachão do Bacamarte","Brejo dos Santos","São José dos Cordeiros","Caraúbas","Riachão","Riachão do Poço","Serra da Raiz","Olho d'Água","São José de Princesa"
"Livramento","Curral de Cima","Belém do Brejo do Cruz","Capim","Pilar","Camalaú","Juarez Távora","Duas Estradas","Olivedos","Junco do Seridó","Pedra Branca"
"Logradouro","Caldas Brandão","Salgadinho","Bom Jesus","Lagoa","Emas","Riacho dos Cavalos","Catingueira","Barra de São Miguel","Bom Sucesso","São José dos Ramos"
"Lucena","Barra de Santa Rosa","Cuité","Piancó","São José de Piranhas","Lagoa de Dentro","Princesa Isabel","Uiraúna","Taperoá","Remígio","Araruna"
"Mãe d'Água","Malta","Cuitegi","São João do Tigre","Vieirópolis","Gurjão","Carrapateira","São Bentinho","Algodão de Jandaíra","Tenório","Pirpirituba"
"Malta","Mãe d'Água","São Bentinho","Cuitegi","Gurjão","Algodão de Jandaíra","Tenório","São Domingos do Cariri","Sossêgo","Serra Grande","São João do Tigre"
"Mamanguape","Sapé","Caaporã","Cruz do Espírito Santo","Itapororoca","Juazeirinho","Araçagi","Gado Bravo","Areia","Marcação","Cacimbas"
"Manaíra","Mulungu","Diamante","Itatuba","Coremas","Riachão do Poço","Nova Olinda","Marizópolis","Brejo dos Santos","Caraúbas","Serraria"
"Marcação","Cacimbas","Imaculada","Cruz do Espírito Santo","Gado Bravo","Pilões","Itapororoca","Juru","Cachoeira dos Índios","Barra de São Miguel","Arara"
"Mari","Areia","São João do Rio do Peixe","Mogeiro","Tavares","Pitimbu","Salgado de São Félix","Alagoa Nova","Fagundes","Massaranduba","Ingá"
"Marizópolis","Arara","Poço Dantas","Coremas","Olho d'Água","Cachoeira dos Índios","Riachão do Bacamarte","Serraria","Pilões","Mulungu","Lagoa"
"Massaranduba","Cuité de Mamanguape","Salgado de São Félix","Água Branca","Tavares","Puxinanã","Juripiranga","Mogeiro","Gurinhém","Capim","Pilar"
"Mataraca","São Sebastião de Lagoa de Roça","Umbuzeiro","São Mamede","Sumé","Areial","Belém","Santa Cecília","Santa Teresinha","Sertãozinho","Alhandra"
"Matinhas","Amparo","Mato Grosso","Borborema","Catingueira","Bom Sucesso","Santana de Mangueira","Serra Redonda","São José dos Ramos","Curral Velho","Passagem"
"Mato Grosso","Passagem","Matinhas","Curral Velho","Amparo","Borborema","Santa Cruz","Bom Sucesso","São José da Lagoa Tapada","Catingueira","Santana de Mangueira"
"Maturéia","Sobrado","Boa Vista","Santa Helena","Damião","Cabaceiras","Paulista","Barra de Santana","Desterro","Serra Branca","Assunção"
"Mogeiro","Fagundes","Massaranduba","Tavares","Salgado de São Félix","Cuité de Mamanguape","Água Branca","São João do Rio do Peixe","Mari","Puxinanã","Juarez Távora"
"Montadas","Baraúna","São Francisco","Sobrado","Quixabá","Barra de Santana","Sertãozinho","Santa Cecília","Boa Vista","Santa Helena","Cabaceiras"
"Monte Horebe","Nova Olinda","São Miguel de Taipu","Itatuba","Diamante","Conceição","Coxixola","Boa Ventura","São José de Princesa","Serra da Raiz","Mulungu"
"Monteiro","Remígio","Lagoa Seca","Cuité","Bananeiras","Cacimba de Dentro","Boqueirão","São José de Piranhas","Rio Tinto","Alagoa Nova","Barra de Santa Rosa"
"Mulungu","Manaíra","Diamante","Coremas","Riachão do Poço","Itatuba","Brejo dos Santos","Nova Olinda","Caraúbas","Marizópolis","Serraria"
"Natuba","Areial","Umbuzeiro","Caturité","Cajazeirinhas","Nova Palmeira","Santa Luzia","Mataraca","Dona Inês","Frei Martinho","Pombal"
"Nova Floresta","Bernardino Batista","Santana dos Garrotes","Aguiar","Igaracy","Pilõezinhos","Jericó","São José da Lagoa Tapada","Santa Cruz","Juripiranga","Baía da Traição"
"Nova Olinda","Diamante","Itatuba","Mulungu","Riachão do Poço","Manaíra","São José de Princesa","Caraúbas","Brejo dos Santos","Serra da Raiz","Coxixola"
"Nova Palmeira","Frei Martinho","Cajazeirinhas","Caturité","Areial","Natuba","Santa Teresinha","Mataraca","Umbuzeiro","São Mamede","Santa Luzia"
"Olho d'Água","Poço Dantas","Riachão do Bacamarte","Riachão","Serraria","Lagoa","Lastro","Marizópolis","Cachoeira dos Índios","Salgadinho","Coremas"
"Olivedos","Duas Estradas","Belém do Brejo do Cruz","Camalaú","Cacimba de Areia","Junco do Seridó","Pedra Branca","Livramento","Curral de Cima","Jericó","Zabelê"
"Ouro Velho","Santo André","Vista Serrana","Cacimba de Areia","Santa Cruz","Zabelê","Passagem","Pilõezinhos","Curral Velho","Aguiar","Santana dos Garrotes"
"Parari","São José do Bonfim","Congo","Carrapateira","Condado","Vieirópolis","Alcantil","São José de Espinharas","Prata","São José do Brejo do Cruz","São João do Tigre"
"Passagem","Curral Velho","Mato Grosso","Santa Cruz","Vista Serrana","Pilõezinhos","São José da Lagoa Tapada","Matinhas","Igaracy","Ouro Velho","Aguiar"
"Patos","Guarabira","Cajazeiras","Esperança","Conde","Picuí","Pombal","Bayeux","Alhandra","Catolé do Rocha","Queimadas"
"Paulista","Barra de Santana","Sobrado","Teixeira","Maturéia","Boa Vista","Santa Cecília","Montadas","Santa Helena","Cabaceiras","Baraúna"
"Pedra Branca","Junco do Seridó","Camalaú","Serra Grande","Sossêgo","Tenório","Algodão de Jandaíra","Duas Estradas","Belém do Brejo do Cruz","Olivedos","São Bentinho"
"Pedra Lavrada","Dona Inês","São José do Sabugi","Várzea","Picuí","Santa Luzia","Caturité","Conde","Natuba","Cajazeirinhas","Nova Palmeira"
"Pedras de Fogo","Queimadas","Alagoa Grande","Sousa","Bananeiras","Rio Tinto","Caaporã","São Bento","Lagoa Seca","Sapé","Alagoa Nova"
"Pedro Régis","Santarém","São José de Espinharas","Damião","Desterro","Prata","Assunção","Alcantil","Cabaceiras","Santa Helena","São José do Brejo do Cruz"
"Piancó","Princesa Isabel","Barra de Santa Rosa","Cuité","Lucena","São José de Piranhas","Teixeira","Araruna","Lagoa de Dentro","Jacaraú","Serra Branca"
"Picuí","Conde","Pedra Lavrada","Dona Inês","Santa Luzia","Guarabira","Pombal","São José do Sabugi","Várzea","Natuba","Esperança"
"Pilar","Capim","Curral de Cima","Livramento","Puxinanã","Juarez Távora","Água Branca","Juripiranga","Belém do Brejo do Cruz","Jericó","Massaranduba"
"Pilões","Cachoeira dos Índios","Imaculada","Barra de São Miguel","Cacimbas","Riacho dos Cavalos","Poço Dantas","Lagoa","Arara","Caldas Brandão","São José dos Ramos"
"Pilõezinhos","Aguiar","Igaracy","Santana dos Garrotes","Santa Cruz","Bernardino Batista","Nova Floresta","São José da Lagoa Tapada","Vista Serrana","Curral Velho","Santo André"
"Pirpirituba","Poço de José de Moura","São João do Tigre","Caiçara","Vieirópolis","Cuitegi","Casserengue","Itaporanga","Mãe d'Água","Congo","Condado"
"Pitimbu","São João do Rio do Peixe","Ingá","Alagoa Nova","Boqueirão","Cacimba de Dentro","Mari","Remígio","Alagoinha","Fagundes","Soledade"
"Pocinhos","Solânea","Jacaraú","Araruna","Teixeira","Piancó","Barra de Santa Rosa","São Bento","Belém","Catolé do Rocha","Princesa Isabel"
"Poço Dantas","Cachoeira dos Índios","Olho d'Água","Marizópolis","Pilões","Lagoa","Arara","Riachão do Bacamarte","Riachão","Riacho dos Cavalos","Salgadinho"
"Poço de José de Moura","Caiçara","Pirpirituba","Uiraúna","Taperoá","São João do Tigre","Condado","Cubati","Vieirópolis","Congo","Casserengue"
"Pombal","Alhandra","Esperança","Catolé do Rocha","Umbuzeiro","Natuba","Conde","Mataraca","Dona Inês","Santa Luzia","Areial"
"Prata","São José do Brejo do Cruz","São José de Espinharas","Pedro Régis","Areia de Baraúnas","Assunção","Santarém","Alcantil","São João do Cariri","Cabaceiras","Damião"
"Princesa Isabel","Piancó","Lucena","Cuité","Barra de Santa Rosa","Serra Branca","Teixeira","São José de Piranhas","Taperoá","Lagoa de Dentro","Desterro"
"Puxinanã","Juripiranga","Água Branca","Capim","Pilar","Massaranduba","Cuité de Mamanguape","Curral de Cima","Jericó","Livramento","Baía da Traição"
"Queimadas","Pedras de Fogo","Alagoa Grande","São Bento","Sousa","Cajazeiras","Bananeiras","Lagoa Seca","Bayeux","Rio Tinto","Araruna"
"Quixabá","São Francisco","Baraúna","Riacho de Santo Antônio","Montadas","São João do Cariri","Sertãozinho","Areia de Baraúnas","Cabaceiras","Boa Vista","Santa Helena"
"Remígio","Boqueirão","Cacimba de Dentro","São José de Piranhas","Monteiro","Ingá","Alagoinha","Cuité","Pitimbu","Soledade","Lagoa de Dentro"
"Riachão","Riachão do Bacamarte","Olho d'Água","Serraria","Salgadinho","Lastro","Lagoa","Logradouro","Poço Dantas","São José dos Cordeiros","Brejo dos Santos"
"Riachão do Bacamarte","Serraria","Lastro","Riachão","Olho d'Água","Brejo dos Santos","São José dos Cordeiros","Caraúbas","Riachão do Poço","Poço Dantas","Coremas"
"Riachão do Poço","Brejo dos Santos","Caraúbas","São José de Princesa","Serra da Raiz","Lastro","Serraria","São José dos Cordeiros","Mulungu","Riachão do Bacamarte","Coremas"
"Riacho de Santo Antônio","São João do Cariri","Areia de Baraúnas","São Francisco","Assunção","Cabaceiras","São José do Brejo do Cruz","Quixabá","Santa Helena","Prata","Boa Vista"
"Riacho dos Cavalos","Barra de São Miguel","Caldas Brandão","Logradouro","Lagoa","São José dos Ramos","Bom Jesus","Pilões","Salgadinho","Santana de Mangueira","Emas"
"Rio Tinto","Bananeiras","Cacimba de Dentro","Alagoa Nova","Lagoa Seca","Remígio","Monteiro","Pitimbu","Alagoa Grande","Boqueirão","Ingá"
"Salgadinho","Logradouro","Lagoa","Caldas Brandão","Emas","Bom Jesus","Riachão","Riacho dos Cavalos","Catingueira","Bom Sucesso","Olho d'Água"
"Salgado de São Félix","Tavares","Massaranduba","Cuité de Mamanguape","Gurinhém","Água Branca","Mogeiro","Puxinanã","Juripiranga","Brejo do Cruz","Areia"
"Santa Cecília","São Mamede","São Sebastião de Lagoa de Roça","Barra de Santana","Baraúna","Montadas","Paulista","Sertãozinho","Sobrado","Sumé","Belém"
"Santa Cruz","Pilõezinhos","Aguiar","Igaracy","Curral Velho","Vista Serrana","Santana dos Garrotes","São José da Lagoa Tapada","Passagem","Santo André","Bernardino Batista"
"Santa Helena","Cabaceiras","Boa Vista","Assunção","Maturéia","Damião","Sobrado","Pedro Régis","Desterro","Riacho de Santo Antônio","Areia de Baraúnas"
"Santa Inês","São José de Caiana","Boa Ventura","São Miguel de Taipu","Monte Horebe","Conceição","Itatuba","Nova Olinda","Diamante","Coxixola","Manaíra"
"Santa Luzia","Dona Inês","Caturité","São José do Sabugi","Natuba","Várzea","Cajazeirinhas","Nova Palmeira","Pedra Lavrada","Areial","Frei Martinho"
"Santa Rita","Bayeux","Patos","Queimadas","Cajazeiras","Pedras de Fogo","Guarabira","Sapé","São Bento","Sousa","Esperança"
